Origin,Type,Year,Latitude,Longitude,Import
Ethiopia,Soybean,2010,8.435,38.786,0
China,Soybean,2010,35.1753,99.3877,0.2061
Canada,Soybean,2010,59.2067,-111.1937,4.3657
Argentina,Soybean,2010,-33.166,-64.31,35.2406
Singapore,Salt,2017,1.3389,103.8297,0.0842
Others,Salt,2017,,,0.1667
New Zealand,Salt,2017,-42.558,172.377,1.1154
India,Salt,2017,22.741,78.236,5.7494
Germany,Salt,2017,51.3819,9.9877,0.1582
Denmark,Salt,2017,56.113,9.096,0.2032
China,Salt,2017,35.1753,99.3877,0.0323
Australia,Salt,2017,-24.578,133.582,76.0858
Singapore,Salt,2016,1.3389,103.8297,0.1067
Others,Salt,2016,,,0.246
New Zealand,Salt,2016,-42.558,172.377,1.2163
India,Salt,2016,22.741,78.236,12.5567
Germany,Salt,2016,51.3819,9.9877,1.0265
Denmark,Salt,2016,56.113,9.096,0.1267
China,Salt,2016,35.1753,99.3877,0.4048
Australia,Salt,2016,-24.578,133.582,70.33
Singapore,Salt,2015,1.3389,103.8297,0.1355
Others,Salt,2015,,,0.1369
New Zealand,Salt,2015,-42.558,172.377,0.9052
India,Salt,2015,22.741,78.236,12.4044
Germany,Salt,2015,51.3819,9.9877,0.1288
Denmark,Salt,2015,56.113,9.096,0.1262
China,Salt,2015,35.1753,99.3877,2.6365
Australia,Salt,2015,-24.578,133.582,63.3581
Singapore,Salt,2014,1.3389,103.8297,0.1039
Others,Salt,2014,,,0.2002
New Zealand,Salt,2014,-42.558,172.377,0.8731
India,Salt,2014,22.741,78.236,9.8482
Germany,Salt,2014,51.3819,9.9877,0.3934
Denmark,Salt,2014,56.113,9.096,0.1543
China,Salt,2014,35.1753,99.3877,2.0258
Australia,Salt,2014,-24.578,133.582,90.7475
Singapore,Salt,2013,1.3389,103.8297,0.0957
Others,Salt,2013,,,0.1986
New Zealand,Salt,2013,-42.558,172.377,0.6911
India,Salt,2013,22.741,78.236,13.8088
Germany,Salt,2013,51.3819,9.9877,0.5873
Denmark,Salt,2013,56.113,9.096,0.1436
China,Salt,2013,35.1753,99.3877,0.0612
Australia,Salt,2013,-24.578,133.582,73.1252
Singapore,Salt,2012,1.3389,103.8297,0.0851
Others,Salt,2012,,,0.2071
New Zealand,Salt,2012,-42.558,172.377,0.596
India,Salt,2012,22.741,78.236,25.357
Germany,Salt,2012,51.3819,9.9877,0.3623
Denmark,Salt,2012,56.113,9.096,0.0172
China,Salt,2012,35.1753,99.3877,0.4746
Australia,Salt,2012,-24.578,133.582,80.8583
Singapore,Salt,2011,1.3389,103.8297,1.404
Others,Salt,2011,,,0.1318
New Zealand,Salt,2011,-42.558,172.377,0.4045
India,Salt,2011,22.741,78.236,54.0493
Germany,Salt,2011,51.3819,9.9877,0.4682
Denmark,Salt,2011,56.113,9.096,0.0024
China,Salt,2011,35.1753,99.3877,0.0539
Australia,Salt,2011,-24.578,133.582,89.9765
Singapore,Salt,2010,1.3389,103.8297,0.1161
Others,Salt,2010,,,0.3507
New Zealand,Salt,2010,-42.558,172.377,0.3526
India,Salt,2010,22.741,78.236,21.7536
Germany,Salt,2010,51.3819,9.9877,0.3324
Denmark,Salt,2010,56.113,9.096,0
China,Salt,2010,35.1753,99.3877,1.0745
Australia,Salt,2010,-24.578,133.582,85.2653
Vietnam,Rice,2017,21.75,105.373,6.7613
United States,Rice,2017,40.0792,-98.8164,0
Thailand,Rice,2017,15.688,100.845,60.2869
Taiwan,Rice,2017,23.6091,120.8353,0
Singapore,Rice,2017,1.3389,103.8297,0
Pakistan,Rice,2017,28.1854,66.6429,34.7931
Others,Rice,2017,,,20.2846
Myanmar,Rice,2017,21.841,96.05,0
India,Rice,2017,22.741,78.236,13.3971
China,Rice,2017,35.1753,99.3877,8.1187
Vietnam,Rice,2016,21.75,105.373,243.1312
United States,Rice,2016,40.0792,-98.8164,0.0008
Thailand,Rice,2016,15.688,100.845,212.6028
Taiwan,Rice,2016,23.6091,120.8353,0
Singapore,Rice,2016,1.3389,103.8297,0
Pakistan,Rice,2016,28.1854,66.6429,4.2207
Others,Rice,2016,,,6.9669
Myanmar,Rice,2016,21.841,96.05,0
India,Rice,2016,22.741,78.236,15.795
China,Rice,2016,35.1753,99.3877,49.1241
Vietnam,Rice,2015,21.75,105.373,202.5631
United States,Rice,2015,40.0792,-98.8164,0
Thailand,Rice,2015,15.688,100.845,66.7724
Taiwan,Rice,2015,23.6091,120.8353,0
Singapore,Rice,2015,1.3389,103.8297,0
Pakistan,Rice,2015,28.1854,66.6429,62.9492
Others,Rice,2015,,,1.2825
Myanmar,Rice,2015,21.841,96.05,2.7323
India,Rice,2015,22.741,78.236,13.6717
China,Rice,2015,35.1753,99.3877,1.631
Vietnam,Rice,2014,21.75,105.373,143.536
United States,Rice,2014,40.0792,-98.8164,1.2943
Thailand,Rice,2014,15.688,100.845,175.3874
Taiwan,Rice,2014,23.6091,120.8353,0.252
Singapore,Rice,2014,1.3389,103.8297,0
Pakistan,Rice,2014,28.1854,66.6429,23.9093
Others,Rice,2014,,,0.3157
Myanmar,Rice,2014,21.841,96.05,5.0828
India,Rice,2014,22.741,78.236,34.2995
China,Rice,2014,35.1753,99.3877,4.1015
Vietnam,Rice,2013,21.75,105.373,97.3033
United States,Rice,2013,40.0792,-98.8164,2.9836
Thailand,Rice,2013,15.688,100.845,61.7875
Taiwan,Rice,2013,23.6091,120.8353,0.4656
Singapore,Rice,2013,1.3389,103.8297,0.0014
Pakistan,Rice,2013,28.1854,66.6429,29.9969
Others,Rice,2013,,,0.4492
Myanmar,Rice,2013,21.841,96.05,6.4989
India,Rice,2013,22.741,78.236,44.9891
China,Rice,2013,35.1753,99.3877,1.5265
Vietnam,Rice,2012,21.75,105.373,564.9257
United States,Rice,2012,40.0792,-98.8164,2.7186
Thailand,Rice,2012,15.688,100.845,186.1714
Taiwan,Rice,2012,23.6091,120.8353,0
Singapore,Rice,2012,1.3389,103.8297,0.0322
Pakistan,Rice,2012,28.1854,66.6429,52.4834
Others,Rice,2012,,,1.1428
Myanmar,Rice,2012,21.841,96.05,4.7545
India,Rice,2012,22.741,78.236,122.189
China,Rice,2012,35.1753,99.3877,11.2056
Vietnam,Rice,2011,21.75,105.373,946.4901
United States,Rice,2011,40.0792,-98.8164,2.4896
Thailand,Rice,2011,15.688,100.845,533.0019
Taiwan,Rice,2011,23.6091,120.8353,1.05
Singapore,Rice,2011,1.3389,103.8297,0.9819
Pakistan,Rice,2011,28.1854,66.6429,6.0534
Others,Rice,2011,,,0.9023
Myanmar,Rice,2011,21.841,96.05,0.4192
India,Rice,2011,22.741,78.236,6.3079
China,Rice,2011,35.1753,99.3877,15.4671
Vietnam,Rice,2010,21.75,105.373,232.9157
United States,Rice,2010,40.0792,-98.8164,1.7455
Thailand,Rice,2010,15.688,100.845,109.1337
Taiwan,Rice,2010,23.6091,120.8353,0
Singapore,Rice,2010,1.3389,103.8297,0.0276
Pakistan,Rice,2010,28.1854,66.6429,1.7658
Others,Rice,2010,,,0.7008
Myanmar,Rice,2010,21.841,96.05,0
India,Rice,2010,22.741,78.236,1.7675
China,Rice,2010,35.1753,99.3877,12.7285
Vietnam,Rice,2009,21.75,105.373,7.9369
United States,Rice,2009,40.0792,-98.8164,2.0057
Thailand,Rice,2009,15.688,100.845,81.9598
Taiwan,Rice,2009,23.6091,120.8353,0
Singapore,Rice,2009,1.3389,103.8297,0.1
Pakistan,Rice,2009,28.1854,66.6429,0.1607
Others,Rice,2009,,,1.5016
Myanmar,Rice,2009,21.841,96.05,0
India,Rice,2009,22.741,78.236,0.7915
China,Rice,2009,35.1753,99.3877,13.697
Vietnam,Rice,2008,21.75,105.373,47.3921
United States,Rice,2008,40.0792,-98.8164,1.7963
Thailand,Rice,2008,15.688,100.845,64.721
Taiwan,Rice,2008,23.6091,120.8353,0
Singapore,Rice,2008,1.3389,103.8297,0.4655
Pakistan,Rice,2008,28.1854,66.6429,0.2592
Others,Rice,2008,,,2.5288
Myanmar,Rice,2008,21.841,96.05,0
India,Rice,2008,22.741,78.236,0.3376
China,Rice,2008,35.1753,99.3877,6.6424
Vietnam,Rice,2007,21.75,105.373,335.5588
United States,Rice,2007,40.0792,-98.8164,0.7911
Thailand,Rice,2007,15.688,100.845,122.4259
Taiwan,Rice,2007,23.6091,120.8353,0.2236
Singapore,Rice,2007,1.3389,103.8297,0.1709
Pakistan,Rice,2007,28.1854,66.6429,1.247
Others,Rice,2007,,,4.1953
Myanmar,Rice,2007,21.841,96.05,0
India,Rice,2007,22.741,78.236,1.6062
China,Rice,2007,35.1753,99.3877,1.5006
Vietnam,Rice,2006,21.75,105.373,83.7734
United States,Rice,2006,40.0792,-98.8164,0.6469
Thailand,Rice,2006,15.688,100.845,45.3993
Taiwan,Rice,2006,23.6091,120.8353,0.9356
Singapore,Rice,2006,1.3389,103.8297,0.5162
Pakistan,Rice,2006,28.1854,66.6429,0.1882
Others,Rice,2006,,,0.3717
Myanmar,Rice,2006,21.841,96.05,0
India,Rice,2006,22.741,78.236,0.6442
China,Rice,2006,35.1753,99.3877,0.145
Vietnam,Rice,2005,21.75,105.373,12.3874
United States,Rice,2005,40.0792,-98.8164,0.7787
Thailand,Rice,2005,15.688,100.845,32.489
Taiwan,Rice,2005,23.6091,120.8353,0
Singapore,Rice,2005,1.3389,103.8297,1.8803
Pakistan,Rice,2005,28.1854,66.6429,0
Others,Rice,2005,,,3.6419
Myanmar,Rice,2005,21.841,96.05,0
India,Rice,2005,22.741,78.236,0.3177
China,Rice,2005,35.1753,99.3877,0.004
Vietnam,Rice,2004,21.75,105.373,13.5441
United States,Rice,2004,40.0792,-98.8164,5.4596
Thailand,Rice,2004,15.688,100.845,33.0232
Taiwan,Rice,2004,23.6091,120.8353,3.7865
Singapore,Rice,2004,1.3389,103.8297,1.6984
Pakistan,Rice,2004,28.1854,66.6429,0
Others,Rice,2004,,,3.3483
Myanmar,Rice,2004,21.841,96.05,0.4271
India,Rice,2004,22.741,78.236,0.4231
China,Rice,2004,35.1753,99.3877,0.0425
Vietnam,Rice,2003,21.75,105.373,96.2731
United States,Rice,2003,40.0792,-98.8164,22.8305
Thailand,Rice,2003,15.688,100.845,110.447
Taiwan,Rice,2003,23.6091,120.8353,3.3581
Singapore,Rice,2003,1.3389,103.8297,0.8214
Pakistan,Rice,2003,28.1854,66.6429,8.1981
Others,Rice,2003,,,14.5783
Myanmar,Rice,2003,21.841,96.05,6.502
India,Rice,2003,22.741,78.236,17.2827
China,Rice,2003,35.1753,99.3877,11.1316
Vietnam,Rice,2002,21.75,105.373,112.9651
United States,Rice,2002,40.0792,-98.8164,3.5793
Thailand,Rice,2002,15.688,100.845,82.5661
Taiwan,Rice,2002,23.6091,120.8353,0.5216
Singapore,Rice,2002,1.3389,103.8297,3.6728
Pakistan,Rice,2002,28.1854,66.6429,5.4648
Others,Rice,2002,,,30.0165
Myanmar,Rice,2002,21.841,96.05,16.9693
India,Rice,2002,22.741,78.236,61.148
China,Rice,2002,35.1753,99.3877,25.6235
Vietnam,Rice,2001,21.75,105.373,23.4406
United States,Rice,2001,40.0792,-98.8164,52.8886
Thailand,Rice,2001,15.688,100.845,33.7566
Taiwan,Rice,2001,23.6091,120.8353,0
Singapore,Rice,2001,1.3389,103.8297,1.4054
Pakistan,Rice,2001,28.1854,66.6429,5.0458
Others,Rice,2001,,,9.6042
Myanmar,Rice,2001,21.841,96.05,3.8222
India,Rice,2001,22.741,78.236,0.3037
China,Rice,2001,35.1753,99.3877,4.6456
Vietnam,Rice,2000,21.75,105.373,77.0756
United States,Rice,2000,40.0792,-98.8164,13.8289
Thailand,Rice,2000,15.688,100.845,83.408
Taiwan,Rice,2000,23.6091,120.8353,0
Singapore,Rice,2000,1.3389,103.8297,0.4843
Pakistan,Rice,2000,28.1854,66.6429,5.2311
Others,Rice,2000,,,31.6598
Myanmar,Rice,2000,21.841,96.05,0.0138
India,Rice,2000,22.741,78.236,0.0001
China,Rice,2000,35.1753,99.3877,107.4284
Vietnam,Petroleum,2017,21.75,105.373,0
United Arab Emirates,Petroleum,2017,23.9299,53.9031,1577.7
Turkey,Petroleum,2017,39.144,34.188,0
Thailand,Petroleum,2017,15.688,100.845,0
Singapore,Petroleum,2017,1.3389,103.8297,8603.8
Saudi Arabia,Petroleum,2017,24.191,44.32,2358.7
Republic of Korea,Petroleum,2017,36.338,128.16,902.5
Others,Petroleum,2017,,,5097.8
Nigeria,Petroleum,2017,9.3417,7.678,1253
Malaysia,Petroleum,2017,4.416,102.099,3572.3
Kuwait,Petroleum,2017,29.3169,47.4272,259.2
China,Petroleum,2017,35.1753,99.3877,255
Brunei Darussalam,Petroleum,2017,4.452,114.557,27.9
Azerbaijan,Petroleum,2017,40.46,47.883,408.4
Australia,Petroleum,2017,-24.578,133.582,0
Algeria,Petroleum,2017,28.6045,2.64,0
Vietnam,Petroleum,2016,21.75,105.373,0
United Arab Emirates,Petroleum,2016,23.9299,53.9031,959.7
Turkey,Petroleum,2016,39.144,34.188,0
Thailand,Petroleum,2016,15.688,100.845,0
Singapore,Petroleum,2016,1.3389,103.8297,6887.4
Saudi Arabia,Petroleum,2016,24.191,44.32,2019.5
Republic of Korea,Petroleum,2016,36.338,128.16,765.5
Others,Petroleum,2016,,,3501.9
Nigeria,Petroleum,2016,9.3417,7.678,1280.1
Malaysia,Petroleum,2016,4.416,102.099,2469.4
Kuwait,Petroleum,2016,29.3169,47.4272,182.6
China,Petroleum,2016,35.1753,99.3877,111
Brunei Darussalam,Petroleum,2016,4.452,114.557,79.7
Azerbaijan,Petroleum,2016,40.46,47.883,483
Australia,Petroleum,2016,-24.578,133.582,0
Algeria,Petroleum,2016,28.6045,2.64,0
Vietnam,Petroleum,2015,21.75,105.373,0
United Arab Emirates,Petroleum,2015,23.9299,53.9031,1041.3
Turkey,Petroleum,2015,39.144,34.188,0
Thailand,Petroleum,2015,15.688,100.845,0
Singapore,Petroleum,2015,1.3389,103.8297,9047.2
Saudi Arabia,Petroleum,2015,24.191,44.32,2748.7
Republic of Korea,Petroleum,2015,36.338,128.16,2148.6
Others,Petroleum,2015,,,2712.7
Nigeria,Petroleum,2015,9.3417,7.678,1284.5
Malaysia,Petroleum,2015,4.416,102.099,3551.3
Kuwait,Petroleum,2015,29.3169,47.4272,504
China,Petroleum,2015,35.1753,99.3877,186.1
Brunei Darussalam,Petroleum,2015,4.452,114.557,104.7
Azerbaijan,Petroleum,2015,40.46,47.883,1284.1
Australia,Petroleum,2015,-24.578,133.582,0
Algeria,Petroleum,2015,28.6045,2.64,0
Vietnam,Petroleum,2014,21.75,105.373,0
United Arab Emirates,Petroleum,2014,23.9299,53.9031,1330
Turkey,Petroleum,2014,39.144,34.188,770.4
Thailand,Petroleum,2014,15.688,100.845,0
Singapore,Petroleum,2014,1.3389,103.8297,15035.1
Saudi Arabia,Petroleum,2014,24.191,44.32,5546.6
Republic of Korea,Petroleum,2014,36.338,128.16,4091
Others,Petroleum,2014,,,3989
Nigeria,Petroleum,2014,9.3417,7.678,3286.1
Malaysia,Petroleum,2014,4.416,102.099,5076.9
Kuwait,Petroleum,2014,29.3169,47.4272,1182.6
China,Petroleum,2014,35.1753,99.3877,162.8
Brunei Darussalam,Petroleum,2014,4.452,114.557,568.1
Azerbaijan,Petroleum,2014,40.46,47.883,2421.3
Australia,Petroleum,2014,-24.578,133.582,0
Algeria,Petroleum,2014,28.6045,2.64,0
Vietnam,Petroleum,2013,21.75,105.373,0
United Arab Emirates,Petroleum,2013,23.9299,53.9031,1389.3
Turkey,Petroleum,2013,39.144,34.188,1051.3
Thailand,Petroleum,2013,15.688,100.845,0
Singapore,Petroleum,2013,1.3389,103.8297,15422.6
Saudi Arabia,Petroleum,2013,24.191,44.32,5557.5
Republic of Korea,Petroleum,2013,36.338,128.16,2779.2
Others,Petroleum,2013,,,4776
Nigeria,Petroleum,2013,9.3417,7.678,3092
Malaysia,Petroleum,2013,4.416,102.099,7393.4
Kuwait,Petroleum,2013,29.3169,47.4272,1148.6
China,Petroleum,2013,35.1753,99.3877,279
Brunei Darussalam,Petroleum,2013,4.452,114.557,639
Azerbaijan,Petroleum,2013,40.46,47.883,1738.5
Australia,Petroleum,2013,-24.578,133.582,0
Algeria,Petroleum,2013,28.6045,2.64,0
Vietnam,Petroleum,2012,21.75,105.373,0
United Arab Emirates,Petroleum,2012,23.9299,53.9031,1286.2
Turkey,Petroleum,2012,39.144,34.188,0
Thailand,Petroleum,2012,15.688,100.845,0
Singapore,Petroleum,2012,1.3389,103.8297,15449.5
Saudi Arabia,Petroleum,2012,24.191,44.32,4154.2
Republic of Korea,Petroleum,2012,36.338,128.16,3668.9
Others,Petroleum,2012,,,5400.5
Nigeria,Petroleum,2012,9.3417,7.678,2735
Malaysia,Petroleum,2012,4.416,102.099,5922.4
Kuwait,Petroleum,2012,29.3169,47.4272,1885.1
China,Petroleum,2012,35.1753,99.3877,423.8
Brunei Darussalam,Petroleum,2012,4.452,114.557,405.1
Azerbaijan,Petroleum,2012,40.46,47.883,1233.5
Australia,Petroleum,2012,-24.578,133.582,0
Algeria,Petroleum,2012,28.6045,2.64,0
Vietnam,Petroleum,2011,21.75,105.373,0
United Arab Emirates,Petroleum,2011,23.9299,53.9031,478.4
Turkey,Petroleum,2011,39.144,34.188,207.6
Thailand,Petroleum,2011,15.688,100.845,0
Singapore,Petroleum,2011,1.3389,103.8297,15416.3
Saudi Arabia,Petroleum,2011,24.191,44.32,4477.2
Republic of Korea,Petroleum,2011,36.338,128.16,5558.9
Others,Petroleum,2011,,,3585.8
Nigeria,Petroleum,2011,9.3417,7.678,1606.1
Malaysia,Petroleum,2011,4.416,102.099,4659.4
Kuwait,Petroleum,2011,29.3169,47.4272,1190.5
China,Petroleum,2011,35.1753,99.3877,755.8
Brunei Darussalam,Petroleum,2011,4.452,114.557,1004.9
Azerbaijan,Petroleum,2011,40.46,47.883,1760.6
Australia,Petroleum,2011,-24.578,133.582,0
Algeria,Petroleum,2011,28.6045,2.64,0
Vietnam,Petroleum,2010,21.75,105.373,0
United Arab Emirates,Petroleum,2010,23.9299,53.9031,310.2
Turkey,Petroleum,2010,39.144,34.188,0.1
Thailand,Petroleum,2010,15.688,100.845,0
Singapore,Petroleum,2010,1.3389,103.8297,10187.6
Saudi Arabia,Petroleum,2010,24.191,44.32,3624.6
Republic of Korea,Petroleum,2010,36.338,128.16,2110
Others,Petroleum,2010,,,2673
Nigeria,Petroleum,2010,9.3417,7.678,913.2
Malaysia,Petroleum,2010,4.416,102.099,4126.9
Kuwait,Petroleum,2010,29.3169,47.4272,1177.1
China,Petroleum,2010,35.1753,99.3877,736.2
Brunei Darussalam,Petroleum,2010,4.452,114.557,659.1
Azerbaijan,Petroleum,2010,40.46,47.883,894.7
Australia,Petroleum,2010,-24.578,133.582,0
Algeria,Petroleum,2010,28.6045,2.64,0
Vietnam,Petroleum,2009,21.75,105.373,0
United Arab Emirates,Petroleum,2009,23.9299,53.9031,195
Turkey,Petroleum,2009,39.144,34.188,344.4
Thailand,Petroleum,2009,15.688,100.845,0
Singapore,Petroleum,2009,1.3389,103.8297,6313.8
Saudi Arabia,Petroleum,2009,24.191,44.32,2678.1
Republic of Korea,Petroleum,2009,36.338,128.16,934.6
Others,Petroleum,2009,,,2234.6
Nigeria,Petroleum,2009,9.3417,7.678,503.6
Malaysia,Petroleum,2009,4.416,102.099,2504.2
Kuwait,Petroleum,2009,29.3169,47.4272,1368.6
China,Petroleum,2009,35.1753,99.3877,510.8
Brunei Darussalam,Petroleum,2009,4.452,114.557,636.7
Azerbaijan,Petroleum,2009,40.46,47.883,756.3
Australia,Petroleum,2009,-24.578,133.582,0
Algeria,Petroleum,2009,28.6045,2.64,0
Vietnam,Petroleum,2008,21.75,105.373,0
United Arab Emirates,Petroleum,2008,23.9299,53.9031,233.4
Turkey,Petroleum,2008,39.144,34.188,891.6
Thailand,Petroleum,2008,15.688,100.845,0
Singapore,Petroleum,2008,1.3389,103.8297,10693.9
Saudi Arabia,Petroleum,2008,24.191,44.32,4229.5
Republic of Korea,Petroleum,2008,36.338,128.16,2127.7
Others,Petroleum,2008,,,2685.1
Nigeria,Petroleum,2008,9.3417,7.678,103.3
Malaysia,Petroleum,2008,4.416,102.099,4991.1
Kuwait,Petroleum,2008,29.3169,47.4272,1787.2
China,Petroleum,2008,35.1753,99.3877,299.3
Brunei Darussalam,Petroleum,2008,4.452,114.557,2410.8
Azerbaijan,Petroleum,2008,40.46,47.883,100
Australia,Petroleum,2008,-24.578,133.582,0
Algeria,Petroleum,2008,28.6045,2.64,0
Vietnam,Petroleum,2007,21.75,105.373,0
United Arab Emirates,Petroleum,2007,23.9299,53.9031,72.1
Turkey,Petroleum,2007,39.144,34.188,607
Thailand,Petroleum,2007,15.688,100.845,0
Singapore,Petroleum,2007,1.3389,103.8297,5931.5
Saudi Arabia,Petroleum,2007,24.191,44.32,3005.5
Republic of Korea,Petroleum,2007,36.338,128.16,1202.2
Others,Petroleum,2007,,,2024.5
Nigeria,Petroleum,2007,9.3417,7.678,602.7
Malaysia,Petroleum,2007,4.416,102.099,4262
Kuwait,Petroleum,2007,29.3169,47.4272,1665
China,Petroleum,2007,35.1753,99.3877,600.6
Brunei Darussalam,Petroleum,2007,4.452,114.557,1861.2
Azerbaijan,Petroleum,2007,40.46,47.883,98.5
Australia,Petroleum,2007,-24.578,133.582,0
Algeria,Petroleum,2007,28.6045,2.64,0
Vietnam,Petroleum,2006,21.75,105.373,634.6
United Arab Emirates,Petroleum,2006,23.9299,53.9031,0
Turkey,Petroleum,2006,39.144,34.188,0
Thailand,Petroleum,2006,15.688,100.845,21.1
Singapore,Petroleum,2006,1.3389,103.8297,6301.1
Saudi Arabia,Petroleum,2006,24.191,44.32,1334.2
Republic of Korea,Petroleum,2006,36.338,128.16,0
Others,Petroleum,2006,,,4449.7
Nigeria,Petroleum,2006,9.3417,7.678,0
Malaysia,Petroleum,2006,4.416,102.099,1588.6
Kuwait,Petroleum,2006,29.3169,47.4272,1453.4
China,Petroleum,2006,35.1753,99.3877,1134.9
Brunei Darussalam,Petroleum,2006,4.452,114.557,1602.8
Azerbaijan,Petroleum,2006,40.46,47.883,0
Australia,Petroleum,2006,-24.578,133.582,306
Algeria,Petroleum,2006,28.6045,2.64,136.5
Vietnam,Petroleum,2005,21.75,105.373,351.7
United Arab Emirates,Petroleum,2005,23.9299,53.9031,0
Turkey,Petroleum,2005,39.144,34.188,0
Thailand,Petroleum,2005,15.688,100.845,364.9
Singapore,Petroleum,2005,1.3389,103.8297,6533.9
Saudi Arabia,Petroleum,2005,24.191,44.32,2489.1
Republic of Korea,Petroleum,2005,36.338,128.16,0
Others,Petroleum,2005,,,1932.3
Nigeria,Petroleum,2005,9.3417,7.678,945.3
Malaysia,Petroleum,2005,4.416,102.099,763.5
Kuwait,Petroleum,2005,29.3169,47.4272,1216.3
China,Petroleum,2005,35.1753,99.3877,1291.6
Brunei Darussalam,Petroleum,2005,4.452,114.557,1190.1
Azerbaijan,Petroleum,2005,40.46,47.883,0
Australia,Petroleum,2005,-24.578,133.582,320.8
Algeria,Petroleum,2005,28.6045,2.64,58.2
Vietnam,Petroleum,2004,21.75,105.373,339.5
United Arab Emirates,Petroleum,2004,23.9299,53.9031,0
Turkey,Petroleum,2004,39.144,34.188,0
Thailand,Petroleum,2004,15.688,100.845,407.7
Singapore,Petroleum,2004,1.3389,103.8297,3555.4
Saudi Arabia,Petroleum,2004,24.191,44.32,1762.6
Republic of Korea,Petroleum,2004,36.338,128.16,0
Others,Petroleum,2004,,,1659.7
Nigeria,Petroleum,2004,9.3417,7.678,1073.8
Malaysia,Petroleum,2004,4.416,102.099,521
Kuwait,Petroleum,2004,29.3169,47.4272,990.8
China,Petroleum,2004,35.1753,99.3877,743
Brunei Darussalam,Petroleum,2004,4.452,114.557,291.6
Azerbaijan,Petroleum,2004,40.46,47.883,0
Australia,Petroleum,2004,-24.578,133.582,243.6
Algeria,Petroleum,2004,28.6045,2.64,143.3
Vietnam,Petroleum,2003,21.75,105.373,258.8
United Arab Emirates,Petroleum,2003,23.9299,53.9031,0
Turkey,Petroleum,2003,39.144,34.188,0
Thailand,Petroleum,2003,15.688,100.845,157.9
Singapore,Petroleum,2003,1.3389,103.8297,2312.9
Saudi Arabia,Petroleum,2003,24.191,44.32,1324.5
Republic of Korea,Petroleum,2003,36.338,128.16,0
Others,Petroleum,2003,,,618.7
Nigeria,Petroleum,2003,9.3417,7.678,860.3
Malaysia,Petroleum,2003,4.416,102.099,344
Kuwait,Petroleum,2003,29.3169,47.4272,633.3
China,Petroleum,2003,35.1753,99.3877,620.1
Brunei Darussalam,Petroleum,2003,4.452,114.557,113.3
Azerbaijan,Petroleum,2003,40.46,47.883,0
Australia,Petroleum,2003,-24.578,133.582,193.9
Algeria,Petroleum,2003,28.6045,2.64,173.2
Vietnam,Petroleum,2002,21.75,105.373,103.2
United Arab Emirates,Petroleum,2002,23.9299,53.9031,0
Turkey,Petroleum,2002,39.144,34.188,0
Thailand,Petroleum,2002,15.688,100.845,119.2
Singapore,Petroleum,2002,1.3389,103.8297,2047
Saudi Arabia,Petroleum,2002,24.191,44.32,966.4
Republic of Korea,Petroleum,2002,36.338,128.16,0
Others,Petroleum,2002,,,723.6
Nigeria,Petroleum,2002,9.3417,7.678,1130.7
Malaysia,Petroleum,2002,4.416,102.099,246.2
Kuwait,Petroleum,2002,29.3169,47.4272,631.3
China,Petroleum,2002,35.1753,99.3877,328.8
Brunei Darussalam,Petroleum,2002,4.452,114.557,33.1
Azerbaijan,Petroleum,2002,40.46,47.883,0
Australia,Petroleum,2002,-24.578,133.582,43
Algeria,Petroleum,2002,28.6045,2.64,153.2
Vietnam,Petroleum,2001,21.75,105.373,113.8
United Arab Emirates,Petroleum,2001,23.9299,53.9031,0
Turkey,Petroleum,2001,39.144,34.188,0
Thailand,Petroleum,2001,15.688,100.845,68.5
Singapore,Petroleum,2001,1.3389,103.8297,1047.8
Saudi Arabia,Petroleum,2001,24.191,44.32,1102.9
Republic of Korea,Petroleum,2001,36.338,128.16,0
Others,Petroleum,2001,,,867.3
Nigeria,Petroleum,2001,9.3417,7.678,444.5
Malaysia,Petroleum,2001,4.416,102.099,344.5
Kuwait,Petroleum,2001,29.3169,47.4272,656.9
China,Petroleum,2001,35.1753,99.3877,315.8
Brunei Darussalam,Petroleum,2001,4.452,114.557,35.9
Azerbaijan,Petroleum,2001,40.46,47.883,0
Australia,Petroleum,2001,-24.578,133.582,47.3
Algeria,Petroleum,2001,28.6045,2.64,426.7
Vietnam,Petroleum,2000,21.75,105.373,174.4
United Arab Emirates,Petroleum,2000,23.9299,53.9031,0
Turkey,Petroleum,2000,39.144,34.188,0
Thailand,Petroleum,2000,15.688,100.845,85.4
Singapore,Petroleum,2000,1.3389,103.8297,1719
Saudi Arabia,Petroleum,2000,24.191,44.32,1442
Republic of Korea,Petroleum,2000,36.338,128.16,0
Others,Petroleum,2000,,,685.5
Nigeria,Petroleum,2000,9.3417,7.678,440.8
Malaysia,Petroleum,2000,4.416,102.099,421
Kuwait,Petroleum,2000,29.3169,47.4272,727.3
China,Petroleum,2000,35.1753,99.3877,276.8
Brunei Darussalam,Petroleum,2000,4.452,114.557,15.5
Azerbaijan,Petroleum,2000,40.46,47.883,0
Australia,Petroleum,2000,-24.578,133.582,31.8
Algeria,Petroleum,2000,28.6045,2.64,0
United States,Motor Vehicle,2017,40.0792,-98.8164,18.5
United Kingdom,Motor Vehicle,2017,52.289,-1.259,21.2
Thailand,Motor Vehicle,2017,15.688,100.845,666
Sweden,Motor Vehicle,2017,66.2188,19,103
Singapore,Motor Vehicle,2017,1.3389,103.8297,5.2
